"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature"
0.499,0.761,5,-5.436,0,0.0367,0.274,9.38e-06,0.137,0.582,76.118,262747,4
0.705,0.643,6,-5.309,0,0.123,0.17,0,0.234,0.69,165.96,242533,4
0.507,0.665,0,-7.598,1,0.0474,0.0144,0,0.0759,0.4,126.879,213338,4
0.352,0.431,5,-7.23,1,0.0326,0.175,6.21e-06,0.105,0.189,128.572,261000,4
0.798,0.717,9,-4.564,1,0.118,0.00541,0.00127,0.0613,0.775,105.024,171000,4
0.688,0.819,7,-6.935,1,0.0558,0.00329,1.8e-05,0.0943,0.457,146.003,279829,4
0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4
0.597,0.837,10,-6.518,1,0.375,0.00427,0.00114,0.839,0.447,126.342,171360,4
0.596,0.92,7,-6.638,1,0.0363,0.602,1.02e-05,0.076,0.966,164.301,196587,4
0.747,0.745,9,-3.335,1,0.146,0.0507,1.9e-06,0.151,0.805,180.123,203853,4
0.522,0.526,0,-8.79,1,0.0354,0.0283,0.000376,0.131,0.53,203.669,191093,4
0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4
0.643,0.877,8,-5.805,1,0.0502,0.0683,0,0.346,0.843,130.193,215160,4
0.697,0.949,0,-7.202,1,0.0353,0.0141,0,0.748,0.904,132.379,228427,4
0.602,0.796,0,-3.657,0,0.103,0.0682,0.12,0.15,0.265,126.06,245053,4
0.653,0.66,6,-4.966,1,0.0511,0.373,0,0.684,0.677,87.958,174785,4
0.322,0.54,1,-6.288,0,0.0273,0.769,0,0.12,0.178,93.776,244293,4
0.48,0.456,4,-7.46,1,0.0242,0.0087,0.000102,0.604,0.341,95.048,334347,4
0.531,0.925,9,-6.446,1,0.22,0.275,2.48e-06,0.905,0.626,112.092,267867,4
0.192,0.111,4,-21.133,1,0.0455,0.968,0.0906,0.376,0.0389,88.223,290707,4
0.703,0.656,1,-4.593,0,0.0496,0.0894,0,0.371,0.214,110.082,231189,4
0.302,0.327,9,-12.193,1,0.0556,0.0625,0.000245,0.162,0.233,167.291,154231,4
0.814,0.855,2,-4.053,1,0.191,0.0226,0.000326,0.144,0.863,170.065,144080,4
0.769,0.405,6,-9.152,1,0.269,0.545,0.000887,0.0521,0.521,78.427,221213,4
