"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","label"
0.568,0.654,8,-7.603,1,0.567,0.276,8.12e-06,0.321,0.322,76.987,210053,4,dislike
0.436,0.0629,10,-26.586,0,0.046,0.949,1.85e-06,0.0959,0.296,99.148,130133,4,like
0.632,0.805,4,-6.989,1,0.0262,0.108,3.13e-05,0.361,0.681,97.032,281027,4,like
0.597,0.818,8,-4.91,1,0.0812,0.059,0,0.0905,0.758,156.922,56331,4,dislike
0.603,0.321,2,-11.489,1,0.0599,0.881,0,0.34,0.844,143.104,155600,4,like
0.762,0.819,7,-4.459,1,0.0897,0.129,0,0.334,0.606,81.981,227030,4,dislike
0.273,0.0947,2,-19.465,1,0.0436,0.816,0.762,0.12,0.125,132.675,238533,3,like
0.624,0.668,6,-7.896,1,0.0265,0.547,1.78e-06,0.217,0.731,114.665,156960,4,dislike
0.564,0.377,5,-9.477,1,0.0239,0.568,0,0.104,0.472,100.035,242893,4,like
0.435,0.579,0,-5.875,1,0.0297,0.625,0,0.103,0.231,109.108,334067,3,like
0.357,0.832,1,-5.232,1,0.0423,0.0489,0,0.169,0.762,219.983,202800,4,like
0.457,0.587,7,-5.949,1,0.0344,0.0101,0.00863,0.0914,0.536,117.879,248240,4,like
0.7,0.887,9,-4.702,1,0.0399,0.302,0.000803,0.16,0.861,105.647,311547,4,like
0.309,0.28,2,-12.012,1,0.0311,0.767,0,0.269,0.64,165.211,221840,4,like
0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.922,164.088,219120,4,dislike
0.619,0.876,0,-3.347,1,0.0438,0.243,0,0.0752,0.778,111.847,149773,4,like
0.249,0.564,4,-6.576,0,0.101,0.706,0.369,0.364,0.335,78.576,208147,4,like
0.799,0.621,7,-4.992,1,0.0599,0.314,0,0.153,0.747,128.002,235040,4,like
0.477,0.523,0,-7.028,1,0.0442,0.624,0,0.126,0.302,163.921,225109,4,like
0.464,0.771,8,-4.503,1,0.336,0.0235,0,0.063,0.69,158.777,198237,4,dislike
0.522,0.764,10,-6.998,1,0.0352,0.0054,0.00142,0.287,0.467,117.021,286560,4,like
0.438,0.177,0,-16.837,1,0.0339,0.937,0.956,0.298,0.468,74.999,191867,4,like
0.59,0.94,10,-8.162,1,0.133,0.434,0.00202,0.102,0.659,175.927,257840,4,like
0.588,0.859,7,-7.554,1,0.0426,0.24,0.00615,0.125,0.9,153.272,227788,4,like
0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023,226680,4,like
0.511,0.334,4,-14.778,0,0.0796,0.577,1.44e-06,0.161,0.333,127.797,149027,3,like
0.604,0.457,5,-6.942,0,0.0304,0.753,0,0.124,0.306,136.968,223280,4,like
0.635,0.837,1,-5.778,0,0.213,0.293,0,0.429,0.765,95.029,227813,4,dislike
0.586,0.476,8,-6.64,1,0.0328,0.803,0,0.122,0.272,137.193,224040,4,like
0.242,0.91,9,-5.19,1,0.113,0.0679,3.38e-06,0.137,0.253,193.886,125013,4,like
0.175,0.923,5,-6.271,0,0.0944,9.04e-06,0.942,0.879,0.0548,109.454,359816,4,dislike
0.702,0.987,7,-2.711,1,0.148,0.00347,0.0256,0.281,0.261,99.982,174201,4,dislike
0.733,0.543,1,-10.002,1,0.0445,0.00213,0.000169,0.0703,0.118,106.019,293543,4,dislike
0.911,0.546,2,-9.792,1,0.227,0.0627,3.37e-06,0.177,0.859,91.989,91840,4,dislike
0.721,0.766,1,-4.068,1,0.226,0.0623,0,0.332,0.785,94.952,178507,4,dislike
0.606,0.296,4,-8.356,1,0.0502,0.908,0,0.255,0.668,115.085,180040,3,like
0.518,0.783,2,-4.88,1,0.0406,0.215,9.53e-06,0.14,0.152,125.985,214067,4,like
0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,308520,4,like
0.55,0.989,1,-3.621,0,0.067,0.00503,0.866,0.487,0.526,150.035,181200,4,dislike
0.648,0.475,6,-7.301,1,0.118,0.201,0,0.127,0.267,143.599,166840,4,like
0.602,0.714,5,-3.107,1,0.0273,0.401,0,0.172,0.825,122.058,195053,4,dislike
0.334,0.177,9,-13.759,1,0.0376,0.863,0,0.113,0.165,132.605,341040,4,like
0.641,0.915,1,-2.608,1,0.0599,0.0012,0,0.0967,0.336,143.424,227520,4,dislike
0.606,0.645,6,-5.725,1,0.0581,0.624,0,0.106,0.465,100.703,183389,4,dislike
0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.987,235477,4,dislike
0.481,0.809,8,-6.019,1,0.0408,0.0326,5.08e-06,0.0424,0.697,84.926,221533,4,like
0.321,0.738,5,-7.067,0,0.0666,0.206,0.000314,0.961,0.346,104.708,302307,4,like
0.472,0.701,0,-8.138,1,0.0942,0.616,1.48e-06,0.966,0.477,140.823,205787,4,like
0.653,0.736,8,-8.69,1,0.0627,0.522,0,0.241,0.903,133.91,157267,4,dislike
0.621,0.59,2,-9.031,1,0.0304,0.548,0,0.269,0.557,110.049,249027,4,dislike
0.744,0.861,1,-3.51,0,0.0936,0.0455,0,0.321,0.689,129.88,205880,4,dislike
0.733,0.907,4,-4.002,0,0.158,0.0264,1.13e-06,0.1,0.661,96.053,231480,4,dislike
0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,189480,4,like
0.587,0.677,8,-5.915,1,0.0721,0.196,2.13e-06,0.316,0.279,107.003,284359,4,dislike
0.547,0.854,2,-3.763,1,0.0299,0.00347,0.0336,0.323,0.347,110.047,286800,4,like
0.692,0.886,1,-2.519,1,0.0519,0.284,0,0.341,0.879,100.03,211013,4,dislike
0.857,0.441,0,-6.649,1,0.0452,0.197,0.00123,0.108,0.625,91.977,208720,4,dislike
0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360,4,dislike
0.708,0.804,4,-7.106,1,0.0516,0.13,0,0.339,0.779,123.449,232773,4,dislike
0.311,0.147,10,-22.533,1,0.0567,0.983,0,0.107,0.387,77.834,124067,4,like
0.409,0.892,2,-4.373,1,0.0336,0.000807,0,0.207,0.651,174.426,258613,4,dislike
0.567,0.456,2,-6.062,1,0.0261,0.529,0,0.177,0.313,90.035,214133,4,like
0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,182627,4,dislike
0.744,0.881,6,-5.5,0,0.0692,0.217,0,0.425,0.543,110.026,163636,4,dislike
0.97,0.262,10,-10.023,1,0.0693,0.926,0.908,0.0794,0.715,118.971,223853,4,like
0.699,0.234,7,-14.525,1,0.0423,0.889,5.03e-05,0.112,0.4,115.582,201547,3,like
0.384,0.559,0,-5.51,1,0.0311,0.392,0.00543,0.138,0.485,145.002,264253,1,like
0.657,0.56,4,-7.934,1,0.376,0.802,0.00079,0.216,0.18,118.211,132000,4,dislike
0.551,0.491,5,-6.873,0,0.0313,0.549,0,0.121,0.382,136.926,223840,4,like
0.496,0.441,2,-8.649,1,0.0308,0.538,0,0.151,0.282,130.024,244120,4,dislike
0.556,0.839,2,-3.668,1,0.0361,0.000226,3.18e-06,0.11,0.241,117.954,219360,4,like
0.533,0.889,1,-4.963,0,0.0951,0.164,0.0011,0.089,0.701,106.95,180918,4,dislike
0.62,0.899,1,-2.364,1,0.223,0.00181,0,0.0941,0.765,87.54,219183,4,dislike
0.425,0.387,0,-7.114,1,0.0317,0.901,0,0.124,0.459,91.964,224293,4,like
0.696,0.315,11,-15.067,0,0.0318,0.237,4.06e-05,0.131,0.224,112.998,323787,4,like
0.435,0.456,6,-10.305,1,0.0279,0.136,1.62e-06,0.124,0.529,107.529,185440,4,like
0.5,0.335,7,-11.136,1,0.0291,0.796,0.857,0.141,0.625,145.327,166093,4,like
0.426,0.619,9,-6.751,1,0.0768,0.808,0,0.11,0.362,148.188,161173,4,like
0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076,237120,4,dislike
0.367,0.279,3,-15.758,1,0.0545,0.838,0,0.133,0.507,170.139,162213,5,like
0.81,0.221,5,-11.005,1,0.0429,0.601,0.21,0.184,0.798,109.96,136413,4,like
0.877,0.537,8,-6.035,1,0.0531,0.22,0.000642,0.118,0.813,118.954,215547,4,like
0.31,0.0276,0,-28.55,0,0.0483,0.941,0.204,0.163,0.247,171.437,156893,3,like
0.299,0.38,8,-8.739,1,0.0299,0.698,1.83e-06,0.0883,0.107,88.377,221240,4,like
0.47,0.625,1,-9.228,1,0.068,0.554,0.000273,0.924,0.399,138.215,241187,4,like
0.628,0.882,1,-5.024,0,0.0323,0.259,0,0.065,0.853,95.083,184413,4,like
0.458,0.794,6,-6.751,1,0.0376,0.541,0.00105,0.101,0.505,126.951,294720,4,like
0.77,0.83,0,-3.975,0,0.307,0.0876,2.32e-06,0.0566,0.506,140.071,221749,4,dislike
0.703,0.867,6,-4.292,1,0.0453,0.107,0,0.119,0.546,128.008,213708,4,like
0.477,0.776,1,-5.056,1,0.0349,0.0155,0.00314,0.203,0.429,131.004,276720,4,like
0.595,0.84,0,-5.012,1,0.0466,0.0262,0.00257,0.2,0.471,130.021,235107,4,like
0.44,0.972,10,-3.6,0,0.137,0.000145,0.00259,0.206,0.458,92.854,168560,4,dislike
0.594,0.872,1,-2.204,1,0.0335,0.402,3.02e-05,0.345,0.855,145.115,192627,4,dislike
0.768,0.768,0,-6.699,1,0.253,0.142,0,0.0664,0.465,136.943,247040,4,dislike
0.765,0.61,2,-7.408,1,0.402,0.224,0,0.0277,0.543,83.125,133012,4,dislike
0.341,0.192,0,-18.539,1,0.041,0.934,0.872,0.218,0.406,78.142,194787,4,like
0.5,0.902,1,-4.67,0,0.0718,0.000742,0.137,0.164,0.619,91.059,186579,4,dislike
0.486,0.513,0,-9.397,1,0.0349,0.746,0.00213,0.113,0.394,129.131,247227,4,like
0.796,0.948,11,-6.332,1,0.122,0.0988,0.00668,0.221,0.599,118.011,173000,4,dislike
0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,dislike
0.641,0.63,8,-6.393,1,0.0521,0.0372,0,0.4,0.415,79.955,241933,4,dislike
0.764,0.906,7,-6.041,0,0.0523,0.00686,0,0.257,0.575,128.043,212707,4,like
0.375,0.504,6,-6.688,1,0.0366,0.228,0,0.208,0.384,176.318,180520,4,like
0.588,0.54,11,-6.27,1,0.0245,0.31,0,0.297,0.393,102.019,128404,3,like
0.785,0.648,1,-4.525,1,0.0373,0.134,0,0.0771,0.689,118.033,190094,4,dislike
0.475,0.956,4,-7.198,1,0.689,0.497,7.36e-05,0.844,0.479,95.267,286256,4,like
0.821,0.732,2,-3.657,1,0.336,0.498,0.00113,0.12,0.789,90.983,237546,4,dislike
0.757,0.64,1,-4.458,1,0.401,0.115,0,0.103,0.397,129.971,210150,4,dislike
0.467,0.678,4,-6.729,0,0.0397,0.325,2.31e-05,0.101,0.156,149.22,243720,3,like
0.594,0.497,1,-8.155,1,0.034,0.377,0,0.103,0.498,110.924,170427,4,like
0.72,0.788,11,-3.516,0,0.119,0.047,1.74e-06,0.033,0.957,90.95,242427,4,dislike
0.107,0.979,1,-5.031,1,0.124,2.74e-06,0.93,0.475,0.0571,91.066,277012,4,dislike
0.558,0.925,0,-3.83,1,0.0335,0.308,0,0.416,0.945,136.696,196013,4,dislike
0.669,0.518,9,-10.743,1,0.0261,0.618,0.623,0.102,0.463,91.019,260760,4,like
0.568,0.441,4,-6.209,0,0.0326,0.184,0,0.0948,0.169,136.069,209733,4,like
0.516,0.605,0,-7.988,1,0.0565,0.479,4.55e-06,0.97,0.448,112.132,187053,4,like
0.565,0.461,0,-7.273,1,0.141,0.586,0,0.162,0.199,157.894,238933,4,like
0.719,0.664,4,-11.361,0,0.291,0.379,0,0.979,0.672,109.544,520661,4,like
0.582,0.818,1,-5.179,1,0.0335,0.176,0,0.137,0.316,108.983,208613,4,like
0.546,0.733,2,-7.073,1,0.0299,0.0399,1.11e-06,0.235,0.91,107.285,241920,4,like
0.488,0.222,2,-20.153,1,0.044,0.834,0.773,0.0781,0.701,140.799,151707,4,like
0.141,0.976,1,-4.719,1,0.093,1.07e-06,0.906,0.194,0.0484,102.119,198413,4,dislike
0.646,0.828,8,-8.342,1,0.038,0.589,0,0.0613,0.539,93.185,181227,4,dislike
0.635,0.472,8,-3.869,0,0.511,0.00898,0,0.117,0.373,174.008,170638,4,dislike
0.286,0.14,6,-14.593,0,0.0327,0.967,0.154,0.116,0.0456,74.685,235000,4,like
0.981,0.569,7,-6.025,1,0.0652,0.0318,0.000535,0.088,0.539,124.989,202400,4,dislike
0.708,0.666,2,-7.042,1,0.0349,0.166,0.000229,0.0929,0.834,89.019,213440,4,like
0.764,0.492,11,-9.429,0,0.0348,0.0853,0.283,0.155,0.383,119.974,224653,4,like
0.194,0.19,1,-12.703,1,0.0354,0.895,1.34e-06,0.122,0.127,85.93,251973,3,like
0.768,0.485,6,-8.435,0,0.0825,0.102,0,0.128,0.289,140.016,237573,4,dislike
0.697,0.527,1,-7.958,1,0.08,0.0148,0,0.0912,0.132,132.895,276569,4,dislike
0.62,0.679,7,-7.007,1,0.0272,0.0586,0.000256,0.19,0.627,112.011,298600,4,like
0.631,0.678,5,-7.18,1,0.0273,0.122,7.06e-05,0.204,0.279,98.477,228067,4,like
0.774,0.431,1,-8.407,1,0.346,0.000146,1.99e-05,0.112,0.353,201.843,181400,4,dislike
0.554,0.699,9,-5.788,1,0.0369,0.000363,3.56e-06,0.0819,0.214,128.021,262893,4,like
0.255,0.0734,9,-17.988,0,0.0333,0.383,1e-04,0.2,0.136,92.884,218507,4,like
0.411,0.699,1,-9.261,0,0.0742,0.275,0.000187,0.7,0.242,97.133,320920,4,like
0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,208467,1,like
0.755,0.814,1,-6.045,1,0.285,0.245,0,0.499,0.549,87.01,392064,4,dislike
0.721,0.925,4,-3.208,0,0.196,0.00171,0.0545,0.547,0.37,111.961,197442,4,dislike
0.978,0.787,2,-2.79,1,0.0394,0.0023,4.6e-06,0.102,0.597,116.006,254467,4,dislike
0.546,0.915,5,-3.783,1,0.0435,0.087,2.24e-06,0.341,0.924,170.15,153173,4,dislike
0.47,0.299,2,-17.148,1,0.0379,0.756,0.514,0.278,0.534,130.595,130227,4,like
0.424,0.371,5,-10.313,1,0.0611,0.884,0.784,0.106,0.419,81.528,316880,4,like
0.578,0.848,1,-5.092,1,0.0882,0.00609,0.00436,0.106,0.335,178.139,251800,4,dislike
0.778,0.615,7,-6.529,1,0.0384,0.0126,1.44e-06,0.108,0.648,120.045,193467,4,like
0.698,0.945,9,-4.803,1,0.367,0.031,0.00223,0.255,0.588,160.017,145400,4,dislike
0.668,0.449,0,-7.897,1,0.0451,0.477,0,0.107,0.154,129.889,205280,4,like
0.425,0.562,2,-6.428,0,0.0278,0.359,4.68e-05,0.103,0.488,81.016,238587,4,like
0.471,0.802,1,-3.599,0,0.27,0.0125,1.45e-06,0.702,0.653,88.615,213507,4,dislike
0.541,0.773,2,-5.45,1,0.0812,0.293,0.000172,0.188,0.548,144.011,225867,4,like
0.678,0.722,11,-4.268,1,0.266,0.108,0,0.0888,0.278,142.075,205152,4,dislike
0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4,like
0.599,0.902,2,-6.375,1,0.0373,0.00559,0.00324,0.136,0.483,152.037,233680,4,like
0.536,0.258,8,-14.778,1,0.0304,0.848,0.00176,0.0875,0.124,129.839,202360,4,like
0.42,0.324,9,-14.7,0,0.0556,0.748,0.839,0.0722,0.33,183.02,366200,3,like
0.531,0.557,10,-10.794,0,0.062,0.183,0,0.25,0.503,133.4,196800,4,like
0.595,0.52,11,-8.185,0,0.0414,0.145,0,0.117,0.369,79.95,225813,4,like
0.575,0.939,2,-3.141,0,0.0392,0.0112,0,0.204,0.751,111.983,175640,4,like
0.615,0.862,10,-4.719,1,0.0663,0.693,0,0.539,0.654,96.071,302493,4,like
0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278719,4,like
0.429,0.516,4,-7.709,1,0.0297,0.088,4.82e-05,0.301,0.478,80.933,247320,4,like
0.739,0.249,0,-10.648,0,0.0478,0.741,0.728,0.122,0.474,130.818,249920,4,like
0.652,0.397,7,-15.245,1,0.0385,0.478,0.000946,0.0679,0.858,82.235,237013,4,like
0.641,0.954,6,-2.31,1,0.276,0.0373,0.00104,0.785,0.666,90.046,231333,4,dislike
0.7,0.823,3,-6.892,1,0.0373,0.168,2.81e-05,0.122,0.745,144.06,249493,4,like
0.717,0.916,11,-6.047,1,0.0344,0.543,0.000156,0.0854,0.964,133.144,261773,4,like
0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023,226680,4,like
0.746,0.692,0,-4.198,0,0.396,0.65,0,0.116,0.555,110.066,196364,4,dislike
0.766,0.742,1,-6.206,1,0.169,0.0793,0,0.0871,0.904,124.076,197604,4,dislike
0.532,0.977,10,-2.761,0,0.0353,0.0208,0,0.151,0.966,116.527,224549,4,dislike
0.686,0.372,3,-11.961,1,0.0358,0.639,0,0.132,0.307,122.953,212293,4,like
0.44,0.975,11,-2.024,1,0.0806,0.000238,0.0159,0.407,0.552,147.938,290427,4,dislike
0.429,0.817,6,-2.491,0,0.0541,0.000581,0.0328,0.0842,0.58,84.979,229373,4,dislike
0.423,0.66,2,-7.403,1,0.12,0.0556,3.06e-05,0.134,0.663,177.954,155413,4,like
0.84,0.707,9,-6.957,1,0.0514,0.0973,0,0.27,0.697,129.532,202200,4,dislike
0.217,0.305,1,-9.495,1,0.0321,0.885,0.00271,0.201,0.12,82.848,292400,4,like
0.796,0.252,9,-9.183,0,0.0442,0.917,0.61,0.0577,0.626,123.039,249813,4,like
0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31e-06,0.109,0.416,138.017,242373,4,like
0.332,0.961,0,-4.542,1,0.0867,1.17e-06,0.967,0.675,0.0381,95.081,220779,4,dislike
0.607,0.759,0,-8.502,1,0.024,0.00661,5.72e-05,0.315,0.746,104.026,251733,4,like
0.707,0.758,4,-4.511,0,0.0917,0.0399,0,0.141,0.674,97.037,197355,4,dislike
0.408,0.202,9,-14.05,0,0.0376,0.938,2.11e-06,0.0982,0.12,86.476,295693,3,like
0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,244027,4,like
0.613,0.848,8,-6.972,1,0.0357,0.279,0,0.0762,0.729,132.049,172440,4,dislike
0.665,0.446,1,-11.884,1,0.0439,0.57,0.000669,0.082,0.172,141.94,230867,4,like
0.524,0.6,0,-6.767,1,0.0352,0.36,0.013,0.341,0.722,112.682,115773,4,like
0.386,0.538,0,-7.664,1,0.0403,0.266,7.18e-05,0.213,0.258,166.49,268427,4,like
0.863,0.576,5,-5.687,0,0.239,0.124,0,0.143,0.832,132.054,236293,4,dislike
0.54,0.745,8,-7.564,0,0.0432,0.0376,0.0128,0.116,0.275,88.573,215987,4,like
0.635,0.72,1,-4.148,1,0.0451,0.00192,0.0398,0.341,0.446,126.106,188571,4,dislike
0.662,0.227,2,-12.03,1,0.108,0.951,0,0.0613,0.629,116.003,206467,5,dislike
0.542,0.76,0,-10.175,1,0.0546,0.291,6.62e-06,0.268,0.633,170.182,233333,4,like
0.853,0.777,1,-3.167,0,0.182,0.194,0,0.118,0.314,168.056,75413,4,dislike
0.652,0.637,1,-8.094,1,0.0593,0.0677,0,0.0996,0.173,110.08,198653,4,dislike
0.649,0.29,5,-9.5,1,0.0781,0.91,0,0.355,0.701,86.345,108027,3,dislike
0.631,0.699,9,-7.625,0,0.0284,0.184,0,0.108,0.707,128.433,219160,4,like
0.568,0.441,4,-6.209,0,0.0326,0.184,0,0.0948,0.169,136.069,209733,4,like
0.552,0.298,7,-13.259,1,0.0382,0.668,0,0.1,0.247,122.305,250305,4,dislike
0.557,0.466,5,-14.706,1,0.034,0.833,0.928,0.0675,0.877,118.83,184227,4,like
0.788,0.673,9,-9.232,1,0.199,0.0044,4.94e-06,0.0755,0.478,99.979,228000,4,dislike
0.662,0.948,8,-3.869,1,0.0914,0.142,1.23e-05,0.0675,0.839,88.987,282387,4,dislike
0.402,0.27,7,-10.016,1,0.0483,0.766,0,0.0896,0.38,112.167,192467,3,like
0.77,0.505,1,-7.345,1,0.0828,0.311,7.4e-05,0.0777,0.757,171.798,279507,4,dislike
0.296,0.185,0,-12.429,1,0.0328,0.832,1.24e-05,0.111,0.216,86.294,186794,4,like
0.511,0.304,0,-11.096,1,0.0279,0.845,1.03e-05,0.0741,0.195,112.379,239767,3,like
0.4,0.829,2,-4.577,0,0.0419,0.0349,0,0.237,0.517,152.078,182920,4,like
0.608,0.753,5,-6.209,0,0.0331,0.0143,0.000636,0.0818,0.934,144.85,97004,4,like
0.704,0.745,1,-5.643,0,0.142,0.733,0,0.261,0.654,133.971,81760,3,like
0.814,0.779,11,-3.271,1,0.235,0.175,0.000671,0.0605,0.544,93.43,268005,4,dislike
0.667,0.723,0,-6.498,1,0.0282,0.0464,0,0.276,0.729,97.016,244770,4,like
0.772,0.805,5,-8.363,0,0.0848,0.116,0.000349,0.0759,0.657,122.95,249133,4,like
0.773,0.646,8,-4.902,1,0.125,0.079,0.000297,0.0866,0.858,135,271507,4,like
0.911,0.6,6,-8.049,0,0.289,0.0838,0.000113,0.338,0.249,96.01,172954,4,dislike
0.276,0.0652,9,-12.904,1,0.036,0.881,0,0.102,0.0987,55.747,259307,4,like
0.181,0.948,0,-3.106,1,0.0625,2.8e-06,0.771,0.875,0.456,100.759,174196,4,dislike
0.504,0.647,7,-5.871,1,0.0359,0.0276,0,0.152,0.244,139.883,226387,4,like
0.502,0.595,5,-5.566,1,0.0286,0.0242,0,0.436,0.449,107.642,226800,4,dislike
0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,296800,4,like
0.319,0.19,7,-15.947,1,0.0434,0.836,5.63e-05,0.104,0.248,96.618,122267,5,like
0.694,0.358,4,-15.888,1,0.032,0.817,0.27,0.113,0.952,105.089,118805,4,like
0.351,0.137,10,-29.601,1,0.0693,0.994,0.0646,0.171,0.543,78.375,124760,4,like
0.603,0.972,11,-5.013,0,0.0415,0.00205,0.687,0.124,0.388,145.997,185753,4,dislike
0.401,0.43,1,-9.25,1,0.0331,0.784,0.00502,0.922,0.152,87.938,243040,4,like
0.902,0.186,2,-9.832,1,0.0502,0.913,0.617,0.176,0.747,101.975,195533,4,like
0.175,0.277,7,-12.447,1,0.0345,0.843,0.001,0.254,0.339,138.29,167533,4,like
0.573,0.627,8,-7.02,1,0.431,0.147,1.67e-06,0.111,0.29,170.1,254200,4,dislike
0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,238493,4,like
0.784,0.802,8,-7.572,1,0.315,0.158,0.00882,0.108,0.503,92.978,167488,4,dislike
0.533,0.753,0,-5.599,1,0.0361,0.00583,0.00556,0.103,0.328,137.959,209613,4,like
0.811,0.863,0,-4.64,1,0.103,0.0503,0,0.309,0.644,121.971,179000,4,dislike
0.418,0.687,5,-4.293,1,0.105,0.202,0,0.111,0.549,79.449,238480,5,dislike
0.81,0.288,10,-9.971,1,0.0412,0.926,0.0107,0.236,0.949,93.266,122000,4,dislike
0.449,0.523,9,-7.949,1,0.028,0.541,4.1e-05,0.162,0.553,142.438,275160,4,like
0.625,0.676,0,-7.059,1,0.036,0.115,0.00277,0.248,0.629,120.019,212453,4,like
0.736,0.773,1,-5.092,1,0.0433,0.0121,0.00531,0.333,0.264,103.026,211023,4,like
0.869,0.746,6,-6.477,0,0.104,0.0422,0,0.0936,0.491,119.968,190002,4,dislike
0.222,0.312,5,-8.897,1,0.0429,0.846,0.391,0.155,0.134,64.773,366773,3,like
0.475,0.469,7,-10.42,1,0.0328,0.209,0,0.329,0.641,81.687,213002,4,like
0.828,0.797,4,-4.608,1,0.259,0.0161,0,0.0547,0.743,130.017,187401,4,dislike
0.405,0.76,7,-4.863,1,0.0407,0.0091,0,0.375,0.317,109.875,220333,4,like
0.531,0.243,3,-11.735,1,0.0327,0.876,6.07e-05,0.12,0.263,132.032,259160,4,like
0.759,0.917,0,-4.023,1,0.055,0.189,0,0.616,0.961,126.027,202000,4,dislike
0.626,0.667,9,-6.484,1,0.0739,0.17,0,0.112,0.855,89.233,188467,4,dislike
0.701,0.849,7,-6.888,1,0.354,0.0182,0.000106,0.116,0.88,203.71,207408,4,dislike
0.373,0.0979,1,-19.385,1,0.0484,0.859,0,0.0554,0.173,148.563,268000,4,like
0.473,0.803,9,-8.055,1,0.037,0.00987,1.78e-05,0.15,0.502,148.07,193963,4,like
0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,259102,4,like
0.797,0.654,9,-12.652,1,0.0389,0.206,0.00214,0.0641,0.963,134.055,244240,4,like
0.683,0.703,5,-5.278,1,0.419,0.0908,0,0.511,0.344,90.029,141367,4,dislike
0.135,0.00925,0,-28.841,1,0.0405,0.878,0.788,0.0604,0.0388,69.321,483667,3,like
0.342,0.243,8,-20.631,1,0.0327,0.839,0.894,0.108,0.253,143.985,335667,4,like
0.194,0.29,1,-10.769,1,0.0359,0.654,1.72e-06,0.0784,0.0704,69.798,334853,3,like
